name,type,value,date
广东,,1177,2020-02-10
广西,,215,2020-02-10
海南,,142,2020-02-10
重庆,,486,2020-02-10
四川,,417,2020-02-10
贵州,,118,2020-02-10
云南,,149,2020-02-10
西藏,,1,2020-02-10
陕西,,213,2020-02-10
甘肃,,86,2020-02-10
青海,,18,2020-02-10
宁夏,,53,2020-02-10
新疆,,55,2020-02-10
中国香港,,42,2020-02-10
中国澳门,,10,2020-02-10
中国台湾,,18,2020-02-10
北京,,352,2020-02-11
天津,,106,2020-02-11
河北,,251,2020-02-11
山西,,124,2020-02-11
内蒙古,,60,2020-02-11
辽宁,,116,2020-02-11
吉林,,83,2020-02-11
黑龙江,,378,2020-02-11
上海,,306,2020-02-11
江苏,,543,2020-02-11
浙江,,1131,2020-02-11
安徽,,888,2020-02-11
福建,,272,2020-02-11
江西,,844,2020-02-11
山东,,497,2020-02-11
河南,,1135,2020-02-11
湖北,,33366,2020-02-11
湖南,,946,2020-02-11
广东,,1219,2020-02-11
广西,,222,2020-02-11
海南,,145,2020-02-11
重庆,,505,2020-02-11
四川,,436,2020-02-11
贵州,,131,2020-02-11
云南,,154,2020-02-11
西藏,,1,2020-02-11
陕西,,219,2020-02-11
甘肃,,86,2020-02-11
青海,,18,2020-02-11
宁夏,,58,2020-02-11
新疆,,59,2020-02-11
中国香港,,49,2020-02-11
中国澳门,,10,2020-02-11
中国台湾,,18,2020-02-11
北京,,366,2020-02-12
天津,,112,2020-02-12
河北,,265,2020-02-12
山西,,126,2020-02-12
内蒙古,,61,2020-02-12
辽宁,,116,2020-02-12
吉林,,84,2020-02-12
黑龙江,,395,2020-02-12
上海,,313,2020-02-12
江苏,,570,2020-02-12
浙江,,1145,2020-02-12
安徽,,910,2020-02-12
福建,,279,2020-02-12
江西,,872,2020-02-12
山东,,506,2020-02-12
河南,,1169,2020-02-12
湖北,,47163,2020-02-12
湖南,,968,2020-02-12
广东,,1241,2020-02-12
广西,,222,2020-02-12
海南,,157,2020-02-12
重庆,,518,2020-02-12
四川,,451,2020-02-12
贵州,,135,2020-02-12
云南,,155,2020-02-12
西藏,,1,2020-02-12
陕西,,225,2020-02-12
甘肃,,87,2020-02-12
青海,,18,2020-02-12
宁夏,,64,2020-02-12
新疆,,63,2020-02-12
中国香港,,50,2020-02-12
中国澳门,,10,2020-02-12
中国台湾,,18,2020-02-12
北京,,372,2020-02-13
天津,,119,2020-02-13
河北,,283,2020-02-13
山西,,126,2020-02-13
内蒙古,,65,2020-02-13
辽宁,,117,2020-02-13
吉林,,86,2020-02-13
黑龙江,,418,2020-02-13
上海,,318,2020-02-13
江苏,,593,2020-02-13
浙江,,1155,2020-02-13
安徽,,934,2020-02-13
福建,,281,2020-02-13
江西,,900,2020-02-13
山东,,519,2020-02-13
河南,,1184,2020-02-13
湖北,,51964,2020-02-13
湖南,,988,2020-02-13
广东,,1261,2020-02-13
广西,,226,2020-02-13
海南,,157,2020-02-13
重庆,,529,2020-02-13
四川,,463,2020-02-13
贵州,,140,2020-02-13
云南,,162,2020-02-13
西藏,,1,2020-02-13
陕西,,229,2020-02-13
甘肃,,90,2020-02-13
青海,,18,2020-02-13
宁夏,,67,2020-02-13
新疆,,65,2020-02-13
中国香港,,53,2020-02-13
中国澳门,,10,2020-02-13
中国台湾,,18,2020-02-13
北京,,375,2020-02-14
天津,,120,2020-02-14
河北,,291,2020-02-14
山西,,127,2020-02-14
内蒙古,,68,2020-02-14
辽宁,,119,2020-02-14
吉林,,88,2020-02-14
黑龙江,,425,2020-02-14
上海,,326,2020-02-14
江苏,,604,2020-02-14
浙江,,1162,2020-02-14
安徽,,950,2020-02-14
福建,,285,2020-02-14
江西,,913,2020-02-14
山东,,530,2020-02-14
河南,,1212,2020-02-14
湖北,,54406,2020-02-14
湖南,,1001,2020-02-14
广东,,1294,2020-02-14
广西,,235,2020-02-14
海南,,162,2020-02-14
重庆,,537,2020-02-14
四川,,470,2020-02-14
贵州,,143,2020-02-14
云南,,168,2020-02-14
西藏,,1,2020-02-14
陕西,,230,2020-02-14
甘肃,,90,2020-02-14
青海,,18,2020-02-14
宁夏,,70,2020-02-14
新疆,,70,2020-02-14
中国香港,,56,2020-02-14
中国澳门,,10,2020-02-14
中国台湾,,18,2020-02-14
北京,,380,2020-02-15
天津,,122,2020-02-15
河北,,300,2020-02-15
山西,,128,2020-02-15
内蒙古,,70,2020-02-15
辽宁,,120,2020-02-15
吉林,,89,2020-02-15
黑龙江,,445,2020-02-15
上海,,328,2020-02-15
江苏,,617,2020-02-15
浙江,,1167,2020-02-15
安徽,,962,2020-02-15
福建,,287,2020-02-15
江西,,925,2020-02-15
山东,,537,2020-02-15
河南,,1231,2020-02-15
湖北,,56238,2020-02-15
湖南,,1004,2020-02-15
广东,,1316,2020-02-15
广西,,237,2020-02-15
海南,,162,2020-02-15
重庆,,544,2020-02-15
四川,,481,2020-02-15
贵州,,144,2020-02-15
云南,,169,2020-02-15
西藏,,1,2020-02-15
陕西,,232,2020-02-15
甘肃,,90,2020-02-15
青海,,18,2020-02-15
宁夏,,70,2020-02-15
新疆,,71,2020-02-15
中国香港,,56,2020-02-15
中国澳门,,10,2020-02-15
中国台湾,,18,2020-02-15
北京,,381,2020-02-16
天津,,124,2020-02-16
河北,,301,2020-02-16
山西,,129,2020-02-16
内蒙古,,72,2020-02-16
辽宁,,121,2020-02-16
吉林,,89,2020-02-16
黑龙江,,457,2020-02-16
上海,,331,2020-02-16
江苏,,626,2020-02-16
浙江,,1171,2020-02-16
安徽,,973,2020-02-16
福建,,290,2020-02-16
江西,,930,2020-02-16
山东,,541,2020-02-16
河南,,1246,2020-02-16
湖北,,58144,2020-02-16
湖南,,1006,2020-02-16
广东,,1322,2020-02-16
广西,,238,2020-02-16
海南,,162,2020-02-16
重庆,,551,2020-02-16
四川,,495,2020-02-16
贵州,,146,2020-02-16
云南,,171,2020-02-16
西藏,,1,2020-02-16
陕西,,236,2020-02-16
甘肃,,90,2020-02-16
青海,,18,2020-02-16
宁夏,,70,2020-02-16
新疆,,75,2020-02-16
中国香港,,57,2020-02-16
中国澳门,,10,2020-02-16
中国台湾,,20,2020-02-16
北京,,387,2020-02-17
天津,,125,2020-02-17
河北,,302,2020-02-17
山西,,130,2020-02-17
内蒙古,,73,2020-02-17
辽宁,,121,2020-02-17
吉林,,89,2020-02-17
黑龙江,,464,2020-02-17
上海,,333,2020-02-17
江苏,,629,2020-02-17
浙江,,1172,2020-02-17
安徽,,982,2020-02-17
福建,,292,2020-02-17
江西,,933,2020-02-17
山东,,543,2020-02-17
河南,,1257,2020-02-17
湖北,,59925,2020-02-17
湖南,,1007,2020-02-17
广东,,1328,2020-02-17
广西,,242,2020-02-17
海南,,163,2020-02-17
重庆,,553,2020-02-17
四川,,508,2020-02-17
贵州,,146,2020-02-17
云南,,172,2020-02-17
西藏,,1,2020-02-17
陕西,,240,2020-02-17
甘肃,,91,2020-02-17
青海,,18,2020-02-17
宁夏,,70,2020-02-17
新疆,,76,2020-02-17
中国香港,,60,2020-02-17
中国澳门,,10,2020-02-17
中国台湾,,22,2020-02-17
北京,,393,2020-02-18
天津,,128,2020-02-18
河北,,306,2020-02-18
山西,,131,2020-02-18
内蒙古,,75,2020-02-18
辽宁,,121,2020-02-18
吉林,,90,2020-02-18
黑龙江,,470,2020-02-18
上海,,333,2020-02-18
江苏,,631,2020-02-18
浙江,,1173,2020-02-18
安徽,,986,2020-02-18
福建,,293,2020-02-18
江西,,933,2020-02-18
山东,,544,2020-02-18
河南,,1261,2020-02-18
湖北,,61682,2020-02-18
湖南,,1008,2020-02-18
广东,,1331,2020-02-18
广西,,244,2020-02-18
海南,,163,2020-02-18
重庆,,555,2020-02-18
四川,,514,2020-02-18
贵州,,146,2020-02-18
云南,,172,2020-02-18
西藏,,1,2020-02-18
陕西,,240,2020-02-18
甘肃,,91,2020-02-18
青海,,18,2020-02-18
宁夏,,71,2020-02-18
新疆,,76,2020-02-18
中国香港,,62,2020-02-18
中国澳门,,10,2020-02-18
中国台湾,,22,2020-02-18
北京,,395,2020-02-19
天津,,130,2020-02-19
河北,,307,2020-02-19
山西,,131,2020-02-19
内蒙古,,75,2020-02-19
辽宁,,121,2020-02-19
吉林,,91,2020-02-19
黑龙江,,476,2020-02-19
上海,,333,2020-02-19
江苏,,631,2020-02-19
浙江,,1168,2020-02-19
安徽,,987,2020-02-19
福建,,293,2020-02-19
江西,,934,2020-02-19
山东,,546,2020-02-19
河南,,1265,2020-02-19
湖北,,62457,2020-02-19
湖南,,1010,2020-02-19
广东,,1332,2020-02-19
广西,,245,2020-02-19
海南,,168,2020-02-19
重庆,,560,2020-02-19
四川,,520,2020-02-19
贵州,,146,2020-02-19
云南,,172,2020-02-19
西藏,,1,2020-02-19
陕西,,242,2020-02-19
甘肃,,91,2020-02-19
青海,,18,2020-02-19
宁夏,,71,2020-02-19
新疆,,76,2020-02-19
中国香港,,65,2020-02-19
中国澳门,,10,2020-02-19
中国台湾,,24,2020-02-19
北京,,396,2020-02-20
天津,,131,2020-02-20
河北,,308,2020-02-20
山西,,132,2020-02-20
内蒙古,,75,2020-02-20
辽宁,,121,2020-02-20
吉林,,91,2020-02-20
黑龙江,,479,2020-02-20
上海,,334,2020-02-20
江苏,,631,2020-02-20
浙江,,1203,2020-02-20
安徽,,988,2020-02-20
